Sale Code,Activity,1st Brand,2nd Brand,3rd Brand,Average Product Price,Brand Count
YAEGA,Athletic Training,UltraClub,Port Authority,Sport-Tek,3195,3
YAEE9,Volleyball,Gildan,Carolina Made,Pennant Sportswear,1917,4
YAE3E,Apparel,Augusta,Gildan,Holloway,2000,5
YADY7,Band Music & Choir,adidas,Gildan,New Era,2653,5
YADKE,Softball,Twin City,Gildan,Badger,2762,15
YADF5,Baseball,Gildan,Under Armour,Twin City,2435,10
YAD75,Spirit Wear,Port Authority,Gildan,Sport-Tek,2753,9
YACZA,Baseball,Rawlings,Under Armour,Holloway,3263,5
YACQS,Swimming,Sport-Tek,Gildan,District Made,1083,6
YACJZ,Football,adidas,Pennant Sportswear,Gildan,2587,9
YACA4,Lacrosse,Holloway,Nike,Pennant Sportswear,4088,3
YAC7E,Spirit Wear,Gildan,Port & Company,Fruit of the Loom,1686,5
YABQW,Softball,Nike,Under Armour,Easton,5998,3
YABND,Basketball,Fruit of the Loom,COTTON GALLERY,Sport-Tek,951,4
YAAQ4,Track & Field,adidas,Holloway,District Made,2465,4
YAAPF,Track & Field,Gildan,Sport-Tek,Holloway,2502,10
YAAN7,School,Eddie Bauer,New Era,Sport-Tek,3087,8
YAAF9,Other,Tultex,Port & Company,Pokeys,1047,3
YAABP,School,adidas,KC Caps,Fersten,3518,4
YA9U5,Other,Port & Company,Port Authority,Bella + Canvas,1856,3
YA9HU,Baseball,High Five,Holloway,Rawlings,2617,7
YA9DR,Track & Field,Holloway,Augusta,Russell Athletic,2397,4
YA9C9,Swimming,TYR,Port & Company,Sport-Tek,3023,5
YA97V,Staff,Sport-Tek,Port Authority,Tri-Mountain,3959,5
YA8SG,Baseball,Badger,Holloway,Sport-Tek,2171,5
YA8RQ,Baseball,Under Armour,Pro-Look,Badger,2971,4
YA8QM,Baseball,Under Armour,Gildan,ChamPro,2167,3
YA8H5,Softball,Holloway,adidas,Stadium Chair Co.,1931,3
YA8GQ,Corporate,North End,Devon & Jones,UltraClub,3778,5
YA88N,Baseball,Ogio,Sport-Tek,Pacific Headwear,1433,4
YA84C,Other,Gildan,Port & Company,Badger,1982,6
YA7QT,Baseball,Sport-Tek,Badger,adidas,4714,11
YA7HK,Football,Nike,Under Armour,Siege,3718,8
YA789,Tennis,Nike,Badger,C2 Sports,2603,4
YA75K,Lacrosse,Under Armour,New Balance,Gildan,3828,6
YA6QA,Other,Devon & Jones,Harriton,Adams,3144,10
YA6FK,Baseball,Port & Company,Sport-Tek,New Era,2137,3
YA6DJ,Swimming,Augusta,Tie Dye,Gildan,2387,4
YA6BM,Other,Augusta,Holloway,Ralph's,1935,5
YA6AR,Softball,Prolook,Adams,Augusta,2981,10
YA5NX,Baseball,adidas,ChamPro,Under Armour,2139,11
YA58Z,Basketball,Bella + Canvas,Bella + Canvas,Port & Company,1633,5
YA4WF,Hockey,Russell Athletic,Stormtech,Whiteridge,2919,5
YA4DB,Track & Field,adidas,Badger,Port & Company,2742,4
YA4B6,Spirit Wear,Sport-Tek,District Made,Port Authority,2556,5
YA44A,Apparel,Port & Company,Boxercraft,Bella + Canvas,1788,5
YA43M,Apparel,Boxercraft,Port Authority,Holloway,2558,4
YA3QE,Field Day,Port & Company,Top 2 Bottom Marketing,Sport-Tek,314,3
YA3C9,Softball,Bella + Canvas,A4,Easton,2354,10
YA32Q,Other,Port & Company,Badger,Port Authority,2550,5
YA2S8,Volleyball,Port & Company,Gildan,Ogio,1442,3
YA2B5,Dance,Port Authority,Sport-Tek,Pennant Sportswear,2773,6
YA28F,Baseball,Badger,Twin City,Port & Company,1709,11
Y9ZZG,Baseball,Majestic,ALPHA,Devon & Jones,3680,11
Y9ZWE,Wrestling,Pakistan,S&S,Bella + Canvas,2859,4
Y9ZUP,Baseball,Twin City,Easton,Under Armour,2458,13
Y9ZN4,Wrestling,3XGEAR,Badger,Port & Company,4133,5
Y9ZKC,Softball,Holloway,Mizuno,Athletic Specialities,2042,5
Y9ZC8,Apparel,Gildan,Badger,Sport-Tek,1789,3
Y9YPH,Baseball,Bella + Canvas,Badger,Sport-Tek,1381,11
Y9YMR,Soccer,Under Armour,AlphaBroder,Pro Feet,1966,6
Y9Y79,Spirit Wear,Gildan,Port Authority,Sport-Tek,1906,4
Y9Y4U,Greek,Holloway,Under Armour,Port Authority,2373,4
Y9Y2J,Cheer,combined,combined,Gildan,3200,3
Y9Y22,Baseball,Gildan,Eimoh,Sport-Tek,2417,7
Y9XY8,Track & Field,Russell Athletic,Gildan,Sportscreen,1300,3
Y9XRT,Other,Comfort Colors,C.C. Creations,Adams,1063,3
Y9XQN,Staff,Sport-Tek,District Made,District Made,2437,5
Y9XCE,Spirit Wear,Boxercraft,Gildan,Badger,2040,5
Y9X8N,Basketball,Sport-Tek,Bella + Canvas,Under Armour,2489,7
Y9X8J,Baseball,Pacific Headwear,SP Apparel,Rawlings,2742,6
Y9X83,Tennis,Augusta,Gildan,Holloway,1866,3
Y9X7T,Track & Field,Under Armour,Gildan,YUPOONG,3309,4
Y9X6H,Volleyball,Nike,Pennant Sportswear,Under Armour,2023,5
Y9X2S,Soccer,New Balance,A4,Gildan,2048,5
Y9WQ8,Soccer,adidas,Port & Company,District Made,1683,6
Y9WJZ,Cross Country,Gildan,Under Armour,Holloway,2099,5
Y9WEZ,Cross Country,Under Armour,Badger,Holloway,2868,3
Y9WDW,Baseball,Gildan,Badger,ValuCap,1597,4
Y9WA7,Track & Field,J. American,Gildan,Holloway,2095,4
Y9VA3,School,Pennant Sportswear,Augusta,Holloway,3707,6
Y9V6H,Apparel,Bauer,New Era,AJM International,3253,4
Y9UXJ,Softball,Twin City,Gildan,Gildan,3326,7
Y9UTP,Lacrosse,Boathouse,New Era,Sport-Tek,5757,4
Y9UME,Apparel,Boxercraft,Bella + Canvas,Bella + Canvas,3273,11
Y9UHA,Tennis,Port & Company,Boxercraft,District Made,1801,6
Y9UBB,Softball,Badger,Rawlings,ChamPro,1590,6
Y9UAB,Apparel,Port Authority,Gildan,Sport-Tek,2714,23
Y9U4Z,Gymnastics,Gildan,Holloway,Boxercraft,2433,5
Y9TZF,Baseball,Under Armour,Rawlings,Badger,3194,10
Y9T9G,Other,Port Authority,District Made,Hanes,1493,3
Y9SU7,Baseball,Twin City,Augusta,Alleson,2439,9
Y9SQ4,Swimming,Dolfin,Better Times,Comfort Colors,2848,4
Y9SNG,Softball,Gildan,Sport-Tek,Augusta,1946,5
Y9SK7,Spirit Wear,Port & Company,Russell Athletic,Pacific Headwear,1700,7
Y9RZJ,Baseball,B&C Apparel,Gildan,Outdoor Cap,4658,4
Y9RKA,Other,Badger,S&S,Gildan,1694,3
Y9R9J,Softball,Dynamic,Twin City,Mizuno,2904,5
Y9QZP,Apparel,Port Authority,Sport-Tek,Pro Celebrity,2797,4
Y9QXK,Soccer,Sport-Tek,Port Authority,Holloway,1394,4
Y9QWB,Football,Gildan,Augusta,Holloway,1464,3
Y9QC7,Track & Field,Russell Athletic,Nike,Holloway,2779,4
Y9Q5T,Baseball,Gildan,Rawlings,AJM,2111,5
Y9Q57,Baseball,New Balance,Twin City,Adams,1763,6
Y9PY8,Soccer,Sport-Tek,Gildan,Holloway,2053,6
Y9PRR,Apparel,Gildan,Holloway,Badger,2447,16
Y9PRA,Baseball,Rawlings,Port & Company,Holloway,3411,8
Y9PPG,Baseball,Port & Company,Under Armour,District Made,1737,6
Y9PPF,Corporate,Port Authority,Ogio,Nike,4362,6
Y9PMJ,Football,Under Armour,Under Armour,Shock Doctor,4786,5
Y9PMD,Basketball,Gildan,Port Authority,Port Authority,1821,3
Y9PHU,Other,Bella + Canvas,Badger,J American,2783,8
Y9PE6,Other,Gildan,Under Armour,Sport-Tek,2326,4
Y9PAA,Apparel,Gildan,Under Armour,Augusta,1994,14
Y9P35,School,Gildan,Holloway,Port & Company,1889,3
Y9NV3,Football,adidas,Gildan,Holloway,2743,7
Y9N5H,Football,AlphaBroder,ChamPro,Bella + Canvas,1361,5
Y9MFT,Other,C2 Sports,Port Authority,Badger,1300,3
Y9M8D,Cheer,Under Armour,Alleson,Holloway,2067,5
Y9KYT,Volleyball,Port & Company,District Made,Alternative,1463,6
Y9KS9,Golf,Port Authority,Gildan,Holloway,2000,7
Y9KR2,Apparel,Port & Company,Port Authority,Sport-Tek,3283,7
Y9KEK,Soccer,Under Armour,Sport-Tek,Holloway,2516,5
Y9KE7,Football,Under Armour,Pearsox,ChamPro,2889,3
Y9KCQ,Apparel,Sport-Tek,Gildan,District Made,1875,4
Y9KBH,Apparel,Augusta,Badger,Bella + Canvas,2545,5
Y9KA2,Band Music & Choir,Gildan,Badger,Sport-Tek,2442,10
Y9K5N,Fundraiser,Port & Company,Sport-Tek,Badger,1917,3
Y9JXR,Martial Arts,Port & Company,Sport-Tek,Pennant Sportswear,1873,3
Y9JNX,Football,Augusta,Martin Sports,adidas,1817,5
Y9JJ7,Baseball,Sport-Tek,Pacific Headwear,Russell Athletic,2720,8
Y9JCH,Other,Port Authority,Gildan,District Made,2105,7
Y9J7C,Wrestling,Badger,Sport-Tek,Pacific Headwear,2403,5
Y9J4F,Baseball,District Made,Sport-Tek,Badger,2145,6
Y9HZB,Cheer,Gildan,Sport-Tek,District Made,2180,3
Y9HX2,Water Polo,Gildan,Sport-Tek,Nike,2484,8
Y9HN4,Apparel,Gildan,Augusta,Port Authority,1679,6
Y9HF5,Corporate,Under Armour,Russell Athletic,Nike,3580,5
Y9HC5,Swimming,TYR,Under Armour,SOFFE,3070,6
Y9HAT,Lacrosse,Under Armour,Badger,Port Authority,3329,3
Y9HAJ,Field Hockey,Holloway,Tie Dye,Pennant Sportswear,1980,5
Y9H5H,Other,Sport-Tek,District Made,Port & Company,1919,6
Y9H25,Lacrosse,Under Armour,Alleson,Badger,3248,6
Y9GY2,Volleyball,Gildan,Badger,Sport-Tek,2255,3
Y9GM4,Apparel,Port Authority,MV Sport,Sport-Tek,2836,11
Y9GDN,Football,Under Armour,Gildan,Holloway,2379,4
Y9G5T,Soccer,Under Armour,Port & Company,Russell Athletic,1856,4
Y9FUD,Football,Badger,Boxercraft,Port Authority,2372,10
Y9FQQ,Track & Field,Augusta,Gildan,Alleson,1267,5
Y9FQJ,Tennis,Badger,Under Armour,Gildan,2351,4
Y9FES,Ultimate Frisbee,Stormtech,Gildan,Team 365,2546,9
Y9F7S,Cheer,Pennant Sportswear,Gildan,Alleson,1978,3
Y9F6D,Wrestling,adidas,Holloway,Alleson,2755,3
Y9EPT,Apparel,Alleson,Warrior-Alleson,Under Armour,3922,6
Y9DW3,Golf,Holloway,Under Armour,Nike,2942,5
Y9DHH,Soccer,High Five,Badger,Holloway,1413,3
Y9DDY,Volleyball,Port & Company,Holloway,adidas,2742,5
Y9CKD,Football,Sport-Tek,Port & Company,Pacific Headwear,1772,3
Y9CJZ,Basketball,Augusta,Holloway,High Five,2860,4
Y9CF5,Staff,Holloway,Gildan,Pennant Sportswear,2612,5
Y9CEY,Swimming,Augusta,Pacific Headwear,Holloway,1923,3
Y9C25,Softball,Pennant Sportswear,Holloway,Badger,2471,3
Y9BFW,Staff,Gildan,District Made,Augusta,2098,6
Y9BBK,Band Music & Choir,Gildan,Port Authority,Sport-Tek,2608,14
Y9BB7,Baseball,Under Armour,Badger,District Made,2450,4
Y9B9U,Basketball,Under Armour,Pacific Headwear,District Made,3032,8
Y9B45,Baseball,Augusta,Gildan,Badger,1323,3
Y9AU7,Rugby,Sport-Tek,Gildan,Augusta,2352,12
Y9AH5,Baseball,Holloway,Gildan,Badger,1804,3
Y9A7M,Apparel,Bella + Canvas,Gildan,District Made,1698,4
Y99AC,Apparel,New Era,Game Day,Russell Athletic,2277,7
Y98RT,Volleyball,Bella + Canvas,Augusta,Badger,1997,6
Y98MG,Spirit Wear,Gildan,Augusta,Tie Dye,1522,10
Y98ES,Baseball,Nike,Gildan,Custom,2291,5
Y97PS,Football,Gildan,Bella + Canvas,Straus Knitting Mills,1551,6
Y96Y4,Basketball,Pro-Look,Sport-Tek,Port & Company,1594,6
Y96QZ,Football,Alleson,Adams,Delta,1537,5
Y96CD,Baseball,Port Authority,Sport-Tek,Augusta,1582,4
Y96BV,Softball,Pro Feet,Under Armour,Mizuno,2068,10
Y96AW,Other,Gildan,Augusta,Sport-Tek,1320,4
Y94YD,Basketball,A4,Russell Athletic,Holloway,2255,4
Y94RD,Other,Sport-Tek,Port Authority,Port & Company,2328,4
Y94R7,Volleyball,Nike,Mizuno,Gildan,2821,5
Y93YF,Swimming,Comfort Colors,Bella + Canvas,Sport-Tek,1778,7
Y93TB,Baseball,adidas,Russell Athletic,Under Armour,6020,6
Y93KJ,Baseball,Badger,Sport-Tek,Alleson,2814,4
Y93FJ,Reunion,Port & Company,Sport-Tek,District Made,1535,4
Y93F5,Spirit Wear,Gildan,Protime Sports,Outdoor Cap,773,3
Y934M,Lacrosse,Gildan,A4,Sport-Tek,1675,7
Y92RV,Baseball,Under Armour,Majestic,Sport-Tek,2251,8
Y929U,Apparel,Under Armour,Badger,Russell Athletic,2486,3
Y926Q,Other,District Made,Badger,Under Armour,2641,4
Y8ZX9,Other,Under Armour,Pacific Headwear,The North Face,8920,5
Y8ZR7,Golf,Holloway,adidas,adidas,3691,5
Y8ZQ4,Baseball,Gildan,Augusta,Under Armour,1281,6
Y8ZMR,Basketball,Port & Company,Sport-Tek,Badger,2511,5
Y8Z8H,School,Fundamentals,Eddie Bauer,Nike,2702,3
Y8YZN,Swimming,Gildan,Sport-Tek,Bella + Canvas,2910,5
Y8YTQ,Wrestling,Gildan,Bella + Canvas,ChamPro,1507,4
Y8YS8,Lacrosse,Under Armour,Pacific Headwear,STX,6349,3
Y8YDD,School,Holloway,Gildan,Russell Athletic,2481,8
Y8XXE,Football,Augusta,Holloway,Sport-Tek,3207,8
Y8XHB,Spirit Wear,Augusta,Augusta,District Made,2147,6
Y8XCY,Softball,Fruit of the Loom,Port & Company,Gildan,600,3
Y8XB8,Volleyball,Mizuno,Port & Company,Pennant Sportswear,1721,3
Y8X3J,Other,Gildan,Under Armour,Badger,2879,7
Y8X25,Football,adidas,Augusta,Under Armour,2433,5
Y8WJN,Softball,Gildan,Under Armour,Pacific Headwear,2254,9
Y8WFU,Wrestling,Badger,A4,Holloway,1779,4
Y8W7X,Volleyball,American Apparel,American Apparel,adidas,1694,4
Y8W28,Swimming,Holloway,adidas,adidas,3700,3
Y8VKD,Hockey,Sport-Tek,Badger,Port Authority,2317,4
Y8VC3,Football,Augusta,District Made,Sport-Tek,1560,8
Y8V4V,Baseball,Badger,Nike,Pacific Headwear,2069,5
Y8UVN,Lacrosse,Sport-Tek,The Game Headwear,Gildan,2536,4
Y8UUG,Baseball,Port & Company,Sport-Tek,Augusta,2010,5
Y8UMS,Football,Under Armour,The Game,Badger,2426,6
Y8UMB,Apparel,Under Armour,Gildan,adidas,2761,5
Y8UKV,Soccer,Under Armour,Gildan,adidas,2748,4
Y8UKR,Football,Sport-Tek,Under Armour,Port & Company,3043,7
Y8UE5,Spirit Wear,Port & Company,District Made,Sport-Tek,2003,3
Y8TBP,Spirit Wear,Gildan,Boxercraft,Augusta,1540,6
Y8T8G,Volleyball,Port & Company,Under Armour,Sport-Tek,1991,3
Y8T7P,Football,Nike,Badger,Russell Athletic,2700,3
Y8SPN,Other,Nike,Sport-Tek,Holloway,4075,5
Y8SNB,Dance,Holloway,Badger,Boxercraft,2956,6
Y8SGT,Track & Field,Gildan,Holloway,Holloway,1983,4
Y8S9R,Baseball,Sport-Tek,Holloway,Bella + Canvas,3157,8
Y8S24,Baseball,Broder Brothers,Easton,A4,2018,7
Y8RNR,Hockey,Gildan,Under Armour,Holloway,2563,4
Y8RKD,Wrestling,A4,Badger,Gildan,2195,4
Y8RGV,Softball,Under Armour,ChamPro,Sport-Tek,2665,7
Y8R6T,Other,Gildan,Pennant Sportswear,Pennant Sportswear,1525,5
Y8QW4,Apparel,Fruit of the Loom,District Made,Sport-Tek,2050,3
Y8QSJ,Baseball,Sport-Tek,Augusta,Port Authority,1864,6
Y8Q49,Track & Field,Gildan,Pennant Sportswear,Port Authority,1454,3
Y8PWM,Baseball,Gildan,Bella + Canvas,Holloway,1327,6
Y8PUP,Baseball,District Made,Gildan,Badger,1515,6
Y8PPV,Baseball,Augusta,Tultex,Russell Athletic,2700,4
Y8PHU,Swimming,Badger,SOFFE,Pennant Sportswear,2152,5
Y8PC5,Other,Gildan,Pacific Headwear,Port Authority,2069,6
Y8P94,Football,Pennant Sportswear,Alleson,PARK AVE.,2261,5
Y8NVU,Softball,Gildan,Holloway,Badger,2724,5
Y8NUY,Corporate,Sport-Tek,Port Authority,Holloway,4148,4
Y8NG2,Baseball,Wilson,Under Armour,Mizuno,2239,5
Y8NBJ,Other,Alleson,Nike,Easton,537,8
Y8MM2,School,Port Authority,Gildan,A4,932,3
Y8MFQ,School,Tie Dye,Brooks,Tie Dye,1498,10
Y8KS6,Football,Under Armour,Oakley,Augusta,3641,3
Y8KDX,Staff,Gildan,Port Authority,Badger,2342,6
Y8KAH,Other,Under Armour,Port & Company,Port Authority,2856,4
Y8K87,Wrestling,Under Armour,Gildan,adidas,2711,3
Y8K3H,Basketball,Sport-Tek,Port & Company,Under Armour,2143,4
Y8K33,Athletics,Gildan,Sport-Tek,Pennant Sportswear,2369,6
Y8K2G,Wrestling,Badger,Rawlings,New Era,3376,4
Y8JZM,Baseball,Badger,Alleson,Holloway,2698,7
Y8JWT,Spirit Wear,Port Authority,A4,Gildan,2015,6
Y8JGJ,Baseball,Bella + Canvas,District Made,Sport-Tek,2213,4
Y8JDJ,Baseball,Port & Company,Majestic,Under Armour,3128,3
Y8JCT,Baseball,The Game,Pacific Headwear,Holloway,1613,8
Y8HV9,Baseball,Rawlings,New Era,Mizuno,3187,6
Y8HSK,Other,Port & Company,Core 365,Holloway,2354,14
Y8HNA,School,UltraClub,Port Authority,District Made,3242,4
Y8HMB,Lacrosse,Under Armour,Badger,Sport-Tek,3041,5
Y8HF8,Hockey,Bauer,Under Armour,Gildan,4128,12
Y8HET,Football,Sport-Tek,Gildan,Russell Athletic,2189,11
Y8H8U,Football,Gildan,Under Armour,Badger,1243,4
Y8H6T,Gymnastics,Gildan,Sport-Tek,Holloway,2104,4
Y8H2E,Other,Sport-Tek,Gildan,adidas,3600,5
Y8GRK,Baseball,Holloway,Alleson,Pennant Sportswear,2480,7
Y8GF6,Spirit Wear,Gildan,Port & Company,Sport-Tek,1411,5
Y8FWF,Volleyball,Gildan,Under Armour,Russell Athletic,1883,5
Y8FTF,Baseball,Nike,Gildan,Holloway,2318,8
Y8FSJ,Other,Port Authority,Sport-Tek,Port & Company,4221,5
Y8FQY,Swimming,Tag,Boxercraft,Sport-Tek,5831,4
Y8FHD,Lacrosse,A4,adidas,Sport-Tek,2658,4
Y8FF5,Apparel,Sport-Tek,Port Authority,Under Armour,3341,7
Y8FAN,Other,Sport-Tek,Holloway,J. American,3791,4
Y8FA6,Basketball,Nike,Badger,Sport-Tek,3323,5
Y8F67,Cheer,Badger,Augusta,Holloway,1563,5
Y8ETZ,Spirit Wear,Techno,AlphaBroder,Team 365,2805,3
Y8EJJ,Track & Field,BAW,Badger,adidas,2103,4
Y8EJA,Corporate,Eddie Bauer,Ogio,Port & Company,2841,10
Y8ECJ,Baseball,Nike,Holloway,Augusta,3568,3
Y8E87,Baseball,Augusta,Gildan,adidas,2747,6
Y8E79,School,High Five,Holloway,Badger,3014,5
Y8DZD,Spirit Wear,Tie Dye,Port & Company,Nike,1396,12
Y8DTA,Volleyball,Port & Company,Under Armour,Mizuno,1023,3
Y8DQV,Volleyball,Port & Company,Under Armour,Mizuno,2538,5
Y8DG9,Football,Under Armour,Port & Company,Russell Athletic,2192,4
Y8D9S,Volleyball,Russell Athletic,Gildan,Under Armour,2173,6
Y8CY4,Basketball,Under Armour,Sport-Tek,Gildan,2337,7
Y8CWS,Apparel,Port & Company,Gildan,District Made,1416,5
Y8CW9,Volleyball,Port & Company,Gildan,adidas,2952,7
Y8CUA,Cheer,Gildan,Sport-Tek,Port Authority,1619,5
Y8CSC,Other,Gildan,Sport-Tek,Port Authority,1637,3
Y8CPD,Basketball,Gildan,Under Armour,Badger,2742,4
Y8CBH,Baseball,Badger,ChamPro,Rawlings,2900,7
Y8BZY,Softball,Pro-Feet,Mizuno,ChamPro,2302,13
Y8BQD,Hockey,Gildan,Sport-Tek,Sport-Tek,3190,11
Y8B9E,Cheer,Port & Company,Sport-Tek,District Made,1730,4
Y8B8P,Lacrosse,Gildan,Pennant Sportswear,District Made,1660,8
Y8B8J,Track & Field,Port & Company,Sport-Tek,adidas,2357,3
Y8B54,Apparel,Gildan,MV Sport,Independent Trading Co.,1806,6
Y8APB,Track & Field,Gildan,C2 Sports,Bella + Canvas,1017,3
Y8AK7,Softball,Port & Company,Sport-Tek,Pacific Headwear,1930,6
Y8AG9,Swimming,Holloway,Gildan,Badger,1569,3
Y8A76,Baseball,Gildan,Under Armour,Rawlings,2414,7
Y8A4X,Wrestling,Gildan,Alleson,Under Armour,1862,3
Y89TU,Spirit Wear,SanMar,Port Authority,Gildan,1876,6
Y89PM,Basketball,Gildan,Sport-Tek,Nike,1462,6
Y8964,Softball,Gildan,Badger,adidas,1511,6
Y88A7,Basketball,Nike,Under Armour,Sport-Tek,3213,3
Y889C,Football,A4,Under Armour,Den,2009,8
Y886F,Baseball,adidas,New Era,Augusta,2138,7
Y87N9,Soccer,Gildan,Holloway,Augusta,2550,10
Y879Q,Football,Badger,Eva Sportswear,Under Armour,2511,3
Y86TD,Cross Country,Augusta,Holloway,High Five,2776,5
Y862E,Basketball,Gildan,adidas,Sport-Tek,2405,5
Y85Y7,Other,Augusta,Gildan,ASI,2579,4
Y85XG,Spirit Wear,Sport-Tek,Badger,Augusta,3735,3
Y85QS,Soccer,adidas,Augusta,Port & Company,1737,11
Y85Q2,Spirit Wear,Gildan,District Made,Badger,1175,8
Y85P3,Basketball,Port & Company,Gildan,Port Authority,1410,3
Y85J9,Spirit Wear,District Made,Badger,Gildan,1603,3
Y85J7,Wrestling,Port & Company,Sport-Tek,Badger,1409,6
Y85DY,Basketball,Tultex,Tultex,Under Armour,3357,4
Y8596,Baseball,A4,Bella + Canvas,Gildan,2457,8
Y8522,PE,Badger,Augusta,Port & Company,990,4
Y84J2,Baseball,Nike,New Balance,ChamPro,2654,6
Y845N,Spirit Wear,Gildan,Sport-Tek,Independent Trading Co.,1656,15
Y8456,Apparel,Under Armour,Nike,Sport-Tek,4329,3
Y8424,Volleyball,Badger,Holloway,Gildan,1724,4
Y83M9,Apparel,Augusta,Port & Company,District Made,436,11
Y83KC,Other,Gildan,Bella + Canvas,Pacific Headwear,1279,4
Y83HE,Apparel,Holloway,Nike,Easton,4444,3
Y83GD,Spirit Wear,Port Authority,Nike,Sport-Tek,2890,5
Y82YF,Softball,Port Authority,Sport-Tek,Gildan,1605,6
Y82UQ,Basketball,A4,Sport-Tek,Gildan,1148,3
Y82HF,Lacrosse,Gildan,Flexfit,Ogio,2136,6
Y82FW,Football,Badger,Under Armour,Russell Athletic,2110,5
Y82BC,Hockey,Bauer,Under Armour,Sport-Tek,4368,6
Y8289,Cheer,District Made,Sport-Tek,Port Authority,2316,6
Y7ZN4,Volleyball,Nike,Gildan,Holloway,2277,3
Y7Z3B,School,Holloway,Badger,Gildan,2941,10
Y7YYD,Soccer,Nike,Gildan,New Balance,3256,3
Y7YR7,Baseball,Holloway,Gildan,Augusta,2422,6
Y7YM6,Hockey,Bauer,Sport-Tek,New Era,3731,4
Y7YK4,Band Music & Choir,Gildan,Sport-Tek,District Made,1473,8
Y7Y96,Basketball,Gildan,Badger,Under Armour,2302,4
Y7Y3E,Basketball,Russell Athletic,Holloway,Badger,2711,8
Y7XP2,Track & Field,Russell Athletic,Holloway,Port Authority,2168,3
Y7XNA,Other,Port Authority,Sport-Tek,Ogio,4003,9
Y7XJP,Basketball,Sport-Tek,Russell Athletic,Alleson,2175,5
Y7XCH,Baseball,Gildan,Gildan,Augusta,1205,3
Y7X7B,Corporate,Port Authority,Gildan,Nike,2995,5
Y7WC4,Softball,Gildan,Badger,Holloway,1533,3
Y7W37,Basketball,Badger,Gildan,Augusta,2741,4
Y7VM7,Football,Gildan,Under Armour,New Era,2467,4
Y7VHH,Softball,Holloway,Rawlings,Badger,3506,5
Y7VFH,Police Fire & Military,Gildan,Port Authority,CornerStone,2162,5
Y7VDF,Apparel,Badger,Port & Company,New Era,3068,5
Y7VD7,Lacrosse,Sport-Tek,Under Armour,Nike,2850,6
Y7VCZ,Other,Athletic Lettering,CHENILLE,Athletic Lettering,5633,3
Y7V4N,Baseball,A4,Port & Company,OC Sports,1001,5
Y7US9,Lacrosse,Hanes,Under Armour,New Era,2879,10
Y7UR5,Water Polo,Hanes,YUPOONG,Sport-Tek,2396,8
Y7UP5,Baseball,Badger,Decals,27 Sports,1933,3
Y7UBQ,Track & Field,Under Armour,Nike,Russell Athletic,2929,4
Y7THY,Other,Gildan,District Made,Port & Company,1318,3
Y7T7Q,Football,Badger,Hanes,Hanes,2104,4
Y7SWF,Dance,Holloway,Augusta,J. American,5113,4
Y7ST3,Football,Nike,Tag,Gildan,2468,5
Y7SHS,Cross Country,Port & Company,Sport-Tek,Under Armour,1971,3
Y7S6F,Soccer,High Five,Augusta,Gildan,1117,3
Y7RTU,Dance,J. American,Gildan,Augusta,3813,6
Y7RRY,Hockey,Kobe Hockey,Holloway,Holloway,4478,4
Y7RME,Spirit Wear,Tradenet,Port & Company,Sport-Tek,1789,11
Y7RJW,Baseball,Holloway,Under Armour,adidas,2535,3
Y7RAT,Baseball,Rawlings,District Made,Outdoor Cap,3193,4
Y7R6S,Football,Under Armour,Port & Company,District Made,1698,7
Y7QNA,Football,A4,Sport-Tek,Tag,1772,3
Y7QHQ,Apparel,Under Armour,New Era,Bella + Canvas,3288,6
Y7QBP,Cheer,Under Armour,J American,Boxercraft,3045,3
Y7Q76,Cross Country,Russell Athletic,Gildan,Augusta,1661,5
Y7Q6C,Volleyball,Badger,Russell Athletic,Augusta,2125,7
Y7PUH,Cross Country,Gildan,Badger,Augusta,1331,6
Y7PSE,Wrestling,Under Armour,A4,Gildan,2551,3
Y7PNJ,Softball,Badger,All-Star Knitwear,Holloway,1744,5
Y7PBG,Lacrosse,Under Armour,Sport-Tek,New Era,2973,4
Y7NPZ,Other,Gildan,Devon & Jones,Port & Company,2513,4
Y7NHT,Softball,adidas,Badger,Easton,3159,4
Y7MZ9,Soccer,adidas,Gildan,Holloway,2866,3
Y7MW7,Spirit Wear,Gildan,District Made,Port & Company,1365,8
Y7MV3,Basketball,Alleson,Holloway,Badger,2256,5
Y7MSX,Spirit Wear,Sport-Tek,Augusta,Port & Company,3243,7
Y7MS5,Wrestling,Bella + Canvas,Sport-Tek,Independent Trading Co.,2871,6
Y7MF2,Baseball,Alleson,Under Armour,Port & Company,2353,7
Y7M66,Hockey,Under Armour,Bauer,New Era,4286,4
Y7KKH,Spirit Wear,Gildan,A4,Sportsman,1208,5
Y7KG5,Bowling,Gildan,Sport-Tek,Sport-Tek,1750,3
Y7KED,Other,Gildan,Holloway,Badger,1833,5
Y7KDB,Apparel,Pennant Sportswear,Bella + Canvas,Sport-Tek,3212,8
Y7K2P,Apparel,Port Authority,Eddie Bauer,Nike,7516,9
Y7JVW,Football,Augusta,Twin City,Sport-Tek,1656,5
Y7JNS,Spirit Wear,District Made,Under Armour,Port Authority,3152,4
Y7JJD,Other,Port & Company,Sport-Tek,Port Authority,2080,3
Y7JF9,Hockey,Badger,Under Armour,Under Armour,2946,10
Y7J9Z,Tennis,Nike,Under Armour,Under Armour,2559,3
Y7J8Z,Spirit Wear,Gildan,Under Armour,Sport-Tek,1707,8
