Sale Code,Activity,1st Brand,2nd Brand,3rd Brand,Average Product Price,Brand Count
ZXTMJ,Spirit Wear,Gildan,SOFFE,Team 365,1468,5
ZXTGG,Wrestling,Port & Company,Badger,Holloway,2489,6
ZXTFW,Wrestling,Asics,Russell Athletic,Gildan,2105,5
ZXSPD,Apparel,Port Authority,Pacific Headwear,Russell Athletic,2379,6
ZXRKQ,Softball,Gildan,District Made,adidas,1931,7
ZXRJD,Other,Sport-Tek,Gildan,District Made,2067,4
ZXQUR,Volleyball,Gildan,Bella + Canvas,Augusta,2625,10
ZXQTB,Football,Russell Athletic,Badger,Pennant Sportswear,2239,8
ZXQRH,Other,Fruit of the Loom,511 Tactical,Sport-Tek,2273,11
ZXQMT,Soccer,Holloway,Holloway,Gildan,2652,6
ZXQES,Band Music & Choir,Gildan,Augusta,Sport-Tek,2518,3
ZXQ59,Baseball,Sport-Tek,Sport-Tek,New Era,2287,8
ZXQ23,Softball,Augusta,District Made,Gildan,1140,4
ZXPV4,Apparel,Sport-Tek,Port & Company,Under Armour,2100,6
ZXPJ2,Dance,Under Armour,Badger,Badger,2347,4
ZXPDY,Wrestling,Gildan,Badger,Flexfit,1862,5
ZXP9V,Football,Under Armour,Hanes,Team 365,3232,9
ZXP33,Baseball,District Made,Badger,Augusta,2088,5
ZXNX6,Tennis,Under Armour,Holloway,A4,2621,3
ZXNJH,Tennis,Nike,Port & Company,Under Armour,2704,5
ZXNGY,Football,Under Armour,Holloway,adidas,3755,7
ZXMUD,Volleyball,Under Armour,Mizuno,Gildan,2687,6
ZXMM3,Ultimate Frisbee,Five Ultimate 1,Five Ultimate 2,Five Ultimate 7,3439,5
ZXKZH,Lacrosse,Nike,Gildan,Sport-Tek,2779,5
ZXKJB,Baseball,Russell Athletic,Under Armour,Gildan,2527,4
ZXKAD,Football,Port & Company,Badger,Augusta,1494,4
ZXK86,Wrestling,adidas,Badger,District Made,2352,6
ZXJXQ,Other,Augusta,Holloway,Russell Athletic,2962,5
ZXJUF,Corporate,Under Armour,Gildan,adidas,4329,3
ZXJRD,Baseball,Gildan,Sport-Tek,District Made,2471,5
ZXJJR,Softball,Holloway,Gildan,Pacific Headwear,1511,9
ZXJ53,Apparel,Port Authority,Sport-Tek,The North Face,4107,4
ZXHYY,Swimming,Gildan,Team 365,Debco,1941,6
ZXHQZ,Softball,Port & Company,Gildan,Pacific Headwear,1663,4
ZXHNR,Swimming,Holloway,Sport-Tek,Gildan,1524,4
ZXHHQ,Basketball,adidas,Hanes,J. American,2874,3
ZXH3N,Soccer,Gildan,Augusta,Holloway,2050,5
ZXGXR,Baseball,Under Armour,Holloway,Port & Company,2793,3
ZXGT3,Swimming,Holloway,Bella + Canvas,Independent Trading Co.,3574,9
ZXGRH,Dance,Augusta,Badger,Boxercraft,2368,5
ZXGMP,Apparel,Gildan,Russell Athletic,Port Authority,1641,5
ZXGEX,Softball,Gildan,A4,Bella + Canvas,1963,6
ZXGCQ,Apparel,Gildan,Cliff-Keen,Badger,1743,3
ZXG9B,Baseball,Under Armour,Holloway,New Era,3654,5
ZXG3W,Tennis,Sport-Tek,Nike,Badger,3119,7
ZXFCM,Hockey,Bauer,KEWL,CSW,3085,5
ZXF3W,Wrestling,Gildan,Blue Chip Athletic,My House,3786,4
ZXESF,Volleyball,Mizuno,Gildan,Hanes,4588,3
ZXE2T,Soccer,Sport-Tek,Under Armour,Pearsox,975,4
ZXDXM,Apparel,Gildan,Holloway,Badger,1815,10
ZXD2S,Other,adidas,Port & Company,Port Authority,2140,3
ZXCEW,Medical,Bella + Canvas,Under Armour,Team 365,3714,11
ZXC6G,Baseball,adidas,Holloway,Twin City,4096,5
ZXC2K,Other,Port Authority,Landaway,Sport-Tek,1946,7
ZXBYF,Softball,Gildan,Under Armour,Badger,2250,6
ZXB5J,Football,Gildan,Holloway,Under Armour,1430,5
ZXB55,Football,Under Armour,Nike,Schutt,3671,4
ZXB3N,Basketball,Under Armour,Gildan,Nike,2482,5
ZXAZQ,Spirit Wear,Port Authority,Sport-Tek,Badger,2888,3
ZXAZK,Softball,Pacific Headwear,Russell Athletic,Port & Company,2252,9
ZXAUT,Other,Pennant Sportswear,Augusta,Sport-Tek,2130,4
ZXAMK,Track & Field,Gildan,Augusta,Pennant Sportswear,2245,6
ZXA9E,Basketball,Under Armour,Sport-Tek,District Made,2989,6
ZXA5S,Soccer,Gildan,Badger,Sport-Tek,2103,5
ZX9RP,Corporate,Port Authority,Gildan,Sport-Tek,2242,4
ZX9K6,Other,--,New Era,BeeGraphix,2050,6
ZX9GB,Baseball,Badger,Under Armour,Augusta,2638,7
ZX9E2,Hockey,Sport-Tek,Athletic Knit,J. American,2923,10
ZX98E,Softball,Outdoor Cap,Twin City,Alleson,27,5
ZX98B,Medical,Port Authority,Bella + Canvas,Eddie Bauer,3689,6
ZX96R,Other,Fruit of the Loom,CornerStone,Bella + Canvas,1847,9
ZX8X4,Baseball,Gildan,Badger,Bella + Canvas,1621,6
ZX8RB,Football,Under Armour,Port & Company,District Made,3586,9
ZX8FP,Spirit Wear,Gildan,Team 365,Port & Company,1760,4
ZX7P4,Soccer,Port & Company,Holloway,Badger,2611,6
ZX7CK,Athletics,Under Armour,Augusta,Holloway,3150,5
ZX7A2,Soccer,Gildan,Sport-Tek,Key Profits,1588,5
ZX78N,Apparel,Port Authority,Port & Company,Sport-Tek,3259,5
ZX75J,Other,Under Armour,Gildan,Port & Company,2465,4
ZX74P,Volleyball,ALPHA,Badger,Pennant Sportswear,2678,8
ZX6PA,Baseball,Badger,A4,Alleson,1782,9
ZX6H5,Soccer,Under Armour,Gildan,Goal Kick,2655,5
ZX6CM,Softball,Port & Company,New Era,Sport-Tek,1334,6
ZX678,Other,Badger,Bella + Canvas,--,3102,6
ZX63S,Lacrosse,Russell Athletic,Gildan,Badger,3070,7
ZX5ZY,Softball,Gildan,Port Authority,Holloway,3250,3
ZX5PB,Baseball,New Balance,A4,Under Armour,3953,4
ZX5NZ,Softball,Holloway,27 Sports,Outdoor Cap,2705,7
ZX5B4,Softball,Wilson,Louisville Slugger,Augusta,5075,6
ZX4WZ,Other,Port & Company,Augusta,Sport-Tek,1575,5
ZX4Q3,Baseball,Pacific Headwear,Badger,Gildan,1520,3
ZX4HJ,Softball,Gildan,New Era,Port & Company,1547,3
ZX4GX,Soccer,Port Authority,Sport-Tek,Holloway,2019,5
ZX4FZ,Hockey,Pennant Sportswear,Under Armour,Gildan,3234,12
ZX49E,Basketball,Gildan,Augusta,Sport-Tek,2565,4
ZX3GA,Football,Under Armour,Twin City,Tag,1511,5
ZX3CX,Water Polo,Holloway,Bella + Canvas,Independent Trading Co.,2116,10
ZX3BA,Band Music & Choir,Burnside,Sport-Tek,Gildan,2299,4
ZX2X9,Baseball,Badger,Alleson,Flexfit,1536,6
ZX2UU,Basketball,Under Armour,Sport-Tek,Port & Company,2114,4
ZX262,Spirit Wear,Under Armour,adidas,Badger,3456,3
ZWZVB,Wrestling,Russell Athletic,Badger,Gildan,1703,3
ZWZU6,Baseball,District Made,Sport-Tek,Sportsman,1699,10
ZWZU5,Cheer,Augusta,SOFFE,Russell Athletic,2744,5
ZWZF4,Track & Field,Russell Athletic,Holloway,adidas,2644,8
ZWZ9M,Other,Port & Company,Sport-Tek,District Made,2052,3
ZWZ7C,Baseball,Gildan,BAW,Pennant Sportswear,1683,8
ZWYS9,Hockey,Russell Athletic,Under Armour,New Era,2381,13
ZWXUW,School,Holloway,Yard Sign,adidas,1959,16
ZWXU5,Other,Sport-Tek,Next Promotions,Port Authority,1554,5
ZWXT8,Other,Sport-Tek,Port Authority,Ogio,3801,5
ZWXSS,Soccer,Nike,Holloway,Port Authority,3158,5
ZWX4B,Spirit Wear,Gildan,Under Armour,Sport-Tek,2739,6
ZWWYK,School,Pennant Sportswear,Badger,Holloway,2037,4
ZWWY6,Spirit Wear,Port & Company,J. American,Badger,2168,4
ZWWWP,Tennis,Under Armour,Gildan,Pacific Headwear,2492,5
ZWWUG,Baseball,ChamPro,Rawlings,Bauer,3144,8
ZWWRN,Swimming,Holloway,District Made,Sport-Tek,2694,5
ZWW4R,Field Hockey,Russell Athletic,SanMar,Warrior,1520,7
ZWVZS,Booster Club,Badger,Gildan,Colortone,2674,8
ZWVPX,Apparel,adidas,A4,A4,3180,5
ZWV39,Baseball,Under Armour,Badger,Badger,1812,4
ZWV2P,Other,Port Authority,Red Kap,Gildan,2191,7
ZWV2K,Lacrosse,Holloway,Augusta,Nike,3590,4
