Stores Sale Code,Stores Normalized Activity,Stores Has Theme (Yes / No),Stores Opens At Month Name,Stores Days Open,User Built By Omg (Yes / No),Stores Products Offered Sum,Products Count Products,Products Count Brands,Orders Count Orders,Transactions Net Units
ZHSXR,Other,No,April,15,No,13,4,4,21,34
ZF9V3,Swimming,No,February,32,No,8,2,1,8,23
Z48EX,Softball,No,November,7,No,33,21,5,13,50
ZT8YE,Basketball,No,November,26,No,42,27,10,52,158
ZNCFF,Basketball,No,November,13,No,10,9,3,21,61
XG8XX,Track & Field,Yes,February,17,No,19,16,7,21,47
XPPG5,Lacrosse,No,April,13,No,15,10,2,10,23
YE853,Basketball,No,October,21,No,44,13,4,14,46
ZPBWU,Greek,No,October,9,No,3,3,2,29,31
YXQ6G,Football,No,February,23,No,8,3,2,13,15
XQ7KB,Football,No,August,9,No,25,20,14,118,304
ZEYAZ,Volleyball,No,October,9,No,19,1,1,1,0
Y5NPU,Basketball,No,January,10,No,4,4,2,35,74
Y6W74,Cross Country,No,May,104,No,6,6,3,10,21
ZF3F7,Football,No,October,11,No,4,2,1,8,14
XVT8B,Hockey,No,September,14,No,17,11,4,19,60
YXSUY,Staff,No,August,34,No,38,14,4,26,36
XVQHU,Soccer,No,February,13,No,26,18,8,22,59
ZYH9B,School,No,August,19,No,11,11,2,88,202
Z7P37,Other,No,January,15,No,10,7,3,17,27
Y8DKT,Rowing,Yes,July,21,No,22,4,1,3,3
ZGSDB,Tennis,No,February,20,Yes,11,8,1,21,45
Y2WP7,Hockey,No,December,12,No,3,1,1,22,24
XPDRP,Football,No,May,15,No,7,5,3,10,38
ZWFF9,Softball,No,April,8,Yes,16,9,2,8,21
YRMQJ,Other,No,January,8,No,8,5,2,15,29
Z5E6T,Baseball,No,April,13,No,42,16,7,9,38
XKC42,Benefit,No,June,94,No,4,4,2,73,133
ZMADH,Basketball,No,November,8,No,28,7,2,16,33
Z47WD,Baseball,No,April,8,No,4,4,3,4,11
Y7RRY,Hockey,No,September,82,No,72,10,4,10,18
ZDDZM,Cross Country,No,August,10,No,4,3,2,29,34
ZN3ZE,Baseball,No,April,4,No,18,10,5,7,15
ZWYJP,Cheer,No,June,10,No,12,10,3,41,138
YVJWJ,Field Hockey,No,August,28,No,5,5,3,48,109
XM8YK,Track & Field,No,March,7,No,0,0,0,32,65
XEF9M,Basketball,No,November,8,No,9,7,1,21,56
XVNS5,Police Fire & Military,Yes,October,35,Yes,5,2,1,52,66
XMDR8,Volleyball,Yes,January,9,No,16,5,3,12,18
ZN9NE,Baseball,No,September,25,No,20,12,1,13,47
Y2H47,Greek,No,September,6,No,2,1,1,30,65
Y6UT5,Softball,No,June,3,No,8,3,1,11,27
XHKRG,Baseball,No,May,21,No,11,10,4,30,93
XDWC3,Wrestling,No,October,17,No,31,19,6,31,161
YRX27,Lacrosse,Yes,February,3,No,6,3,2,5,6
ZNJCN,Rowing,No,October,16,No,21,17,4,79,179
Y923S,Soccer,Yes,February,34,No,26,25,3,150,996
YJGYR,Other,No,February,24,No,4,1,1,2,3
YV5TN,Softball,No,January,57,No,10,3,1,2,0
YUBCV,Basketball,Yes,December,48,No,57,29,12,16,71
Z3R8W,Tennis,Yes,January,55,No,19,17,5,29,99
Y7V4N,Baseball,No,February,20,No,19,11,5,7,18
XWZ29,Medical,No,August,86,Yes,79,48,11,53,345
ZU354,Spirit Wear,No,April,11,No,14,10,5,16,37
XWPPD,Soccer,Yes,July,9,No,11,8,1,5,28
Y97PS,Football,No,July,13,No,30,12,6,15,36
YRCSR,Volleyball,No,June,24,No,12,8,1,6,22
XG4P4,Apparel,Yes,November,35,Yes,9,8,1,19,44
ZD9KK,Other,No,November,72,No,4,4,1,18,22
XHJ8H,Track & Field,No,January,15,Yes,20,17,2,86,203
ZJBKQ,Softball,No,September,10,No,16,8,6,7,18
XVUUN,Corporate,No,February,28,No,102,5,3,2,7
ZVBP9,Track & Field,No,January,20,No,22,16,2,18,41
YPSES,Football,No,June,12,No,26,8,3,5,12
Z9C9P,Other,No,November,13,No,26,12,4,8,24
XH9QR,Band Music & Choir,No,September,11,No,8,5,2,12,17
Z3Y9U,Softball,No,October,136,Yes,32,21,7,41,228
XZ9VK,Athletics,No,September,49,No,31,12,3,22,46
YQTQD,Police Fire & Military,No,September,31,No,3,3,1,19,47
XGTMU,Other,No,September,21,Yes,1,1,1,25,33
YAXUZ,Other,No,January,15,No,32,19,8,21,53
ZD8QD,Basketball,No,February,20,No,9,7,3,13,33
ZC2GF,Football,No,August,5,No,3,3,1,8,19
ZJNMR,Spirit Wear,Yes,January,54,No,20,16,7,13,42
ZK8H6,School,No,December,54,No,29,17,4,14,40
XTDDJ,Football,No,August,12,No,71,24,4,17,50
ZZFR3,School,No,May,8,No,6,2,2,7,7
ZZNAW,Baseball,No,April,4,No,6,2,1,3,8
Y28JV,Field Hockey,No,September,10,No,15,10,7,8,19
Y3QKA,Baseball,No,October,25,No,22,8,6,6,11
ZFUQB,Soccer,No,February,12,No,11,5,4,11,28
YGX29,Volleyball,No,May,26,No,22,10,2,17,84
Z3FBK,Basketball,No,November,7,Yes,13,10,1,25,64
XEW3S,Football,No,May,17,Yes,12,11,3,8,20
YV52S,Baseball,No,March,9,No,11,4,4,3,6
ZWBR6,Volleyball,No,September,5,No,9,9,4,20,34
Z5US3,Spirit Wear,No,October,32,No,29,23,6,42,109
ZTBBH,Soccer,No,August,9,No,21,18,3,24,72
ZZWDK,Wrestling,No,December,11,No,32,9,2,9,19
YKDSU,Basketball,No,June,22,No,20,17,8,41,105
Z95RS,Hockey,No,September,14,No,37,22,6,35,169
ZQQ87,Softball,No,July,18,No,19,14,9,49,227
Z46MX,School,No,August,19,No,12,11,2,48,75
ZUREQ,Football,No,June,28,No,26,9,6,6,22
Z53X9,Tennis,No,July,21,No,5,5,3,17,64
